"filename", "language", "JSON", "Markdown", "MS SQL", "JavaScript", "XML", "TypeScript", "JSON with Comments", "C++", "vue", "PostCSS", "comment", "blank", "total"
"/Users/user/Desktop/Struct/.agents/skills/stripe-best-practices/SKILL.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 49
"/Users/user/Desktop/Struct/.agents/skills/stripe-best-practices/references/billing.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 59
"/Users/user/Desktop/Struct/.agents/skills/stripe-best-practices/references/connect.md", "Markdown", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 174
"/Users/user/Desktop/Struct/.agents/skills/stripe-best-practices/references/payments.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 80
"/Users/user/Desktop/Struct/.agents/skills/stripe-best-practices/references/security.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 110
"/Users/user/Desktop/Struct/.agents/skills/stripe-best-practices/references/tax.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 38
"/Users/user/Desktop/Struct/.agents/skills/stripe-best-practices/references/treasury.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"/Users/user/Desktop/Struct/README.md", "Markdown", 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 465
"/Users/user/Desktop/Struct/dummy-device.js", "JavaScript", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 13, 19, 162
"/Users/user/Desktop/Struct/hero shot.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/logo 5.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/package-lock.json", "JSON", 1407, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1408
"/Users/user/Desktop/Struct/package.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/user/Desktop/Struct/skills-lock.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/user/Desktop/Struct/struct logo 2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/struct logo 4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/supabase/migrations/001_init.sql", "MS SQL", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 12, 23, 148
"/Users/user/Desktop/Struct/supabase/migrations/002_fix_devices_rls.sql", "MS SQL", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 7, 15, 92
"/Users/user/Desktop/Struct/supabase/migrations/003_saas_features.sql", "MS SQL", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 8, 23, 110
"/Users/user/Desktop/Struct/supabase/migrations/004_schema_versioning.sql", "MS SQL", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 6, 13, 85
"/Users/user/Desktop/Struct/supabase/migrations/005_organizations_rbac.sql", "MS SQL", 0, 0, 357, 0, 0, 0, 0, 0, 0, 0, 26, 63, 446
"/Users/user/Desktop/Struct/supabase/migrations/006_org_member_rpcs.sql", "MS SQL", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 3, 21, 168
"/Users/user/Desktop/Struct/supabase/migrations/007_fix_org_create_rls.sql", "MS SQL", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 9, 53
"/Users/user/Desktop/Struct/supabase/migrations/008_leave_organization.sql", "MS SQL", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 8, 48
"/Users/user/Desktop/Struct/supabase/migrations/009_remove_member_owner_only.sql", "MS SQL", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 7, 55
"/Users/user/Desktop/Struct/supabase/migrations/010_destination_routing_rules.sql", "MS SQL", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/user/Desktop/Struct/supabase/migrations/011_audit_logs.sql", "MS SQL", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 6, 21, 155
"/Users/user/Desktop/Struct/supabase/migrations/012_stripe_billing.sql", "MS SQL", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 3, 11, 71
"/Users/user/Desktop/Struct/supabase/migrations/013_rename_studio_to_scale.sql", "MS SQL", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 3, 36
"/Users/user/Desktop/Struct/supabase/migrations/014_subscription_entitlements.sql", "MS SQL", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 3, 19, 159
"/Users/user/Desktop/Struct/supabase/migrations/015_telemetry_retention.sql", "MS SQL", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 5, 10, 80
"/Users/user/Desktop/Struct/supabase/migrations/016_bulk_device_upload.sql", "MS SQL", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 8, 27, 230
"/Users/user/Desktop/Struct/supabase/migrations/017_settings_webhook_security.sql", "MS SQL", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 8, 34
"/Users/user/Desktop/Struct/tcp-server/crypto.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 23, 11, 92
"/Users/user/Desktop/Struct/tcp-server/downlinks.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 14, 10, 78
"/Users/user/Desktop/Struct/tcp-server/package-lock.json", "JSON", 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 506
"/Users/user/Desktop/Struct/tcp-server/package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/user/Desktop/Struct/tcp-server/parser.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 12, 16, 119
"/Users/user/Desktop/Struct/tcp-server/rateLimit.js", "JavaScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 23, 17, 120
"/Users/user/Desktop/Struct/tcp-server/replay.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 30, 14, 98
"/Users/user/Desktop/Struct/tcp-server/server.js", "JavaScript", 0, 0, 0, 311, 0, 0, 0, 0, 0, 0, 25, 54, 390
"/Users/user/Desktop/Struct/tcp-server/test-crypto.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 8, 36
"/Users/user/Desktop/Struct/tcp-server/test-parser.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 7, 29
